date,global warming
2017-10-05,56
2017-10-06,50
2017-10-07,35
2017-10-08,52
2017-10-09,60
2017-10-10,63
2017-10-11,55
2017-10-12,59
2017-10-13,61
2017-10-14,42
2017-10-15,44
2017-10-16,62
2017-10-17,61
2017-10-18,52
2017-10-19,57
2017-10-20,41
2017-10-21,38
2017-10-22,46
2017-10-23,57
2017-10-24,75
2017-10-25,75
2017-10-26,60
2017-10-27,47
2017-10-28,30
2017-10-29,50
2017-10-30,62
2017-10-31,70
2017-11-01,55
2017-11-02,73
2017-11-03,61
2017-11-04,40
2017-11-05,47
2017-11-06,65
2017-11-07,69
2017-11-08,60
2017-11-09,64
2017-11-10,48
2017-11-11,45
2017-11-12,55
2017-11-13,76
2017-11-14,65
2017-11-15,80
2017-11-16,72
2017-11-17,55
2017-11-18,40
2017-11-19,48
2017-11-20,59
2017-11-21,58
2017-11-22,50
2017-11-23,47
2017-11-24,34
2017-11-25,38
2017-11-26,56
2017-11-27,57
2017-11-28,62
2017-11-29,64
2017-11-30,72
2017-12-01,59
2017-12-02,47
2017-12-03,42
2017-12-04,77
2017-12-05,74
2017-12-06,68
2017-12-07,74
2017-12-08,63
2017-12-09,49
2017-12-10,46
2017-12-11,71
2017-12-12,72
2017-12-13,71
2017-12-14,68
2017-12-15,53
2017-12-16,38
2017-12-17,40
2017-12-18,51
2017-12-19,44
2017-12-20,54
2017-12-21,41
2017-12-22,27
2017-12-23,25
2017-12-24,22
2017-12-25,23
2017-12-26,25
2017-12-27,30
2017-12-28,33
2017-12-29,100
2017-12-30,82
2017-12-31,60
2018-01-01,48
2018-01-02,64
2018-01-03,80
2018-01-04,85
2018-01-05,87
2018-01-06,69
2018-01-07,55
2018-01-08,67
2018-01-09,65
2018-01-10,67
2018-01-11,68
2018-01-12,64
2018-01-13,39
2018-01-14,51
2018-01-15,44
2018-01-16,73
2018-01-17,73
2018-01-18,79
2018-01-19,59
2018-01-20,36
2018-01-21,56
2018-01-22,63
2018-01-23,72
2018-01-24,72
2018-01-25,53
2018-01-26,56
2018-01-27,29
2018-01-28,50
2018-01-29,59
2018-01-30,66
2018-01-31,68
2018-02-01,65
2018-02-02,53
2018-02-03,38
2018-02-04,45
2018-02-05,63
2018-02-06,73
2018-02-07,64
2018-02-08,61
2018-02-09,60
2018-02-10,33
2018-02-11,42
2018-02-12,56
2018-02-13,59
2018-02-14,59
2018-02-15,55
2018-02-16,48
2018-02-17,36
2018-02-18,39
2018-02-19,54
2018-02-20,71
2018-02-21,70
2018-02-22,61
2018-02-23,58
2018-02-24,31
2018-02-25,42
2018-02-26,72
2018-02-27,68
2018-02-28,73
2018-03-01,67
2018-03-02,48
2018-03-03,48
2018-03-04,49
2018-03-05,69
2018-03-06,74
2018-03-07,72
2018-03-08,74
2018-03-09,64
2018-03-10,34
2018-03-11,47
2018-03-12,61
2018-03-13,58
2018-03-14,64
2018-03-15,60
2018-03-16,50
2018-03-17,38
2018-03-18,45
2018-03-19,54
2018-03-20,68
2018-03-21,63
2018-03-22,55
2018-03-23,50
2018-03-24,30
2018-03-25,40
2018-03-26,50
2018-03-27,55
2018-03-28,47
2018-03-29,49
2018-03-30,32
2018-03-31,25
2018-04-01,27
2018-04-02,47
2018-04-03,53
2018-04-04,47
2018-04-05,59
2018-04-06,50
2018-04-07,28
2018-04-08,51
2018-04-09,62
2018-04-10,55
