date,oil
2016-10-28,81
2016-10-29,80
2016-10-30,82
2016-10-31,84
2016-11-01,85
2016-11-02,90
2016-11-03,84
2016-11-04,86
2016-11-05,87
2016-11-06,85
2016-11-07,91
2016-11-08,81
2016-11-09,76
2016-11-10,84
2016-11-11,86
2016-11-12,84
2016-11-13,80
2016-11-14,85
2016-11-15,87
2016-11-16,85
2016-11-17,90
2016-11-18,91
2016-11-19,85
2016-11-20,86
2016-11-21,89
2016-11-22,91
2016-11-23,90
2016-11-24,83
2016-11-25,80
2016-11-26,86
2016-11-27,88
2016-11-28,88
2016-11-29,91
2016-11-30,100
2016-12-01,95
2016-12-02,92
2016-12-03,90
2016-12-04,85
2016-12-05,93
2016-12-06,88
2016-12-07,88
2016-12-08,86
2016-12-09,81
2016-12-10,85
2016-12-11,87
2016-12-12,92
2016-12-13,96
2016-12-14,91
2016-12-15,88
2016-12-16,88
2016-12-17,83
2016-12-18,83
2016-12-19,87
2016-12-20,92
2016-12-21,91
2016-12-22,84
2016-12-23,84
2016-12-24,77
2016-12-25,66
2016-12-26,81
2016-12-27,90
2016-12-28,88
2016-12-29,92
2016-12-30,95
2016-12-31,84
2017-01-01,75
2017-01-02,91
2017-01-03,95
2017-01-04,93
2017-01-05,98
2017-01-06,90
2017-01-07,90
2017-01-08,89
2017-01-09,94
2017-01-10,89
2017-01-11,91
2017-01-12,95
2017-01-13,92
2017-01-14,92
2017-01-15,97
2017-01-16,94
2017-01-17,94
2017-01-18,92
2017-01-19,91
2017-01-20,87
2017-01-21,92
2017-01-22,90
2017-01-23,92
2017-01-24,96
2017-01-25,96
2017-01-26,91
2017-01-27,92
2017-01-28,91
2017-01-29,93
2017-01-30,91
2017-01-31,91
2017-02-01,94
2017-02-02,92
2017-02-03,91
2017-02-04,96
2017-02-05,93
2017-02-06,91
2017-02-07,94
2017-02-08,92
2017-02-09,88
2017-02-10,94
2017-02-11,93
2017-02-12,93
2017-02-13,92
2017-02-14,87
2017-02-15,90
2017-02-16,92
2017-02-17,93
2017-02-18,97
2017-02-19,97
2017-02-20,97
2017-02-21,98
2017-02-22,93
2017-02-23,92
2017-02-24,91
2017-02-25,93
2017-02-26,93
2017-02-27,97
2017-02-28,93
2017-03-01,93
2017-03-02,90
2017-03-03,93
2017-03-04,94
2017-03-05,94
2017-03-06,96
2017-03-07,94
2017-03-08,91
2017-03-09,96
2017-03-10,98
2017-03-11,96
2017-03-12,96
2017-03-13,99
2017-03-14,94
2017-03-15,94
2017-03-16,94
2017-03-17,91
2017-03-18,95
2017-03-19,95
2017-03-20,95
2017-03-21,94
2017-03-22,94
2017-03-23,93
2017-03-24,93
2017-03-25,93
2017-03-26,91
2017-03-27,98
2017-03-28,94
2017-03-29,96
2017-03-30,93
2017-03-31,91
2017-04-01,91
2017-04-02,92
2017-04-03,93
2017-04-04,94
2017-04-05,89
2017-04-06,91
2017-04-07,95
2017-04-08,98
2017-04-09,98
2017-04-10,94
2017-04-11,93
2017-04-12,92
2017-04-13,92
2017-04-14,93
2017-04-15,94
2017-04-16,83
2017-04-17,91
2017-04-18,90
2017-04-19,90
2017-04-20,90
2017-04-21,90
2017-04-22,93
2017-04-23,93
2017-04-24,93
2017-04-25,92
2017-04-26,89
2017-04-27,90
2017-04-28,89
2017-04-29,92
2017-04-30,96
2017-05-01,96
2017-05-02,90
2017-05-03,93
2017-05-04,93
2017-05-05,90
2017-05-06,93
2017-05-07,93
2017-05-08,95
2017-05-09,92
2017-05-10,92
2017-05-11,89
2017-05-12,90
2017-05-13,90
2017-05-14,86
2017-05-15,94
2017-05-16,93
2017-05-17,90
2017-05-18,90
2017-05-19,92
2017-05-20,92
2017-05-21,91
2017-05-22,89
2017-05-23,90
2017-05-24,91
2017-05-25,93
2017-05-26,93
2017-05-27,92
2017-05-28,89
2017-05-29,91
2017-05-30,91
2017-05-31,92
2017-06-01,89
2017-06-02,90
2017-06-03,94
2017-06-04,92
2017-06-05,95
2017-06-06,95
2017-06-07,95
2017-06-08,89
2017-06-09,87
2017-06-10,94
2017-06-11,91
2017-06-12,92
2017-06-13,91
2017-06-14,89
2017-06-15,93
2017-06-16,94
2017-06-17,96
2017-06-18,88
2017-06-19,96
2017-06-20,96
2017-06-21,96
2017-06-22,96
2017-06-23,93
2017-06-24,97
2017-06-25,96
2017-06-26,95
2017-06-27,96
2017-06-28,90
2017-06-29,91
2017-06-30,88
2017-07-01,94
2017-07-02,92
2017-07-03,98
2017-07-04,90
2017-07-05,94
2017-07-06,93
2017-07-07,95
2017-07-08,98
2017-07-09,100
2017-07-10,98
2017-07-11,94
2017-07-12,94
2017-07-13,95
2017-07-14,94
2017-07-15,96
2017-07-16,97
2017-07-17,95
2017-07-18,96
2017-07-19,95
2017-07-20,91
2017-07-21,95
2017-07-22,96
2017-07-23,95
2017-07-24,95
2017-07-25,97
2017-07-26,96
2017-07-27,95
2017-07-28,95
2017-07-29,98
2017-07-30,93
2017-07-31,95
2017-08-01,96
2017-08-02,98
2017-08-03,95
2017-08-04,92
2017-08-05,96
2017-08-06,93
2017-08-07,98
2017-08-08,93
2017-08-09,90
2017-08-10,91
2017-08-11,89
2017-08-12,95
2017-08-13,94
2017-08-14,91
2017-08-15,91
2017-08-16,89
2017-08-17,90
2017-08-18,89
2017-08-19,95
2017-08-20,92
2017-08-21,90
2017-08-22,91
2017-08-23,93
2017-08-24,88
2017-08-25,92
2017-08-26,92
2017-08-27,85
2017-08-28,86
2017-08-29,90
2017-08-30,88
2017-08-31,93
2017-09-01,83
2017-09-02,88
2017-09-03,85
2017-09-04,82
2017-09-05,82
2017-09-06,83
2017-09-07,86
2017-09-08,84
2017-09-09,85
2017-09-10,81
2017-09-11,81
2017-09-12,81
2017-09-13,83
2017-09-14,86
2017-09-15,83
2017-09-16,86
2017-09-17,81
2017-09-18,84
2017-09-19,81
2017-09-20,83
2017-09-21,80
2017-09-22,81
2017-09-23,83
2017-09-24,81
2017-09-25,83
2017-09-26,83
2017-09-27,80
2017-09-28,81
2017-09-29,82
2017-09-30,81
2017-10-01,81
2017-10-02,79
2017-10-03,83
2017-10-04,83
2017-10-05,80
2017-10-06,84
2017-10-07,87
2017-10-08,83
2017-10-09,84
2017-10-10,84
2017-10-11,83
2017-10-12,87
2017-10-13,85
2017-10-14,84
2017-10-15,84
2017-10-16,88
2017-10-17,87
2017-10-18,84
2017-10-19,83
2017-10-20,81
2017-10-21,88
2017-10-22,81
2017-10-23,86
2017-10-24,83
2017-10-25,83
2017-10-26,85
2017-10-27,83
2017-10-28,85
2017-10-29,83
2017-10-30,85
2017-10-31,80
2017-11-01,85
2017-11-02,88
2017-11-03,83
2017-11-04,91
2017-11-05,85
2017-11-06,90
2017-11-07,91
2017-11-08,92
2017-11-09,91
2017-11-10,87
2017-11-11,91
2017-11-12,89
2017-11-13,95
2017-11-14,88
2017-11-15,91
2017-11-16,88
2017-11-17,90
2017-11-18,93
2017-11-19,89
2017-11-20,89
2017-11-21,88
2017-11-22,91
2017-11-23,82
2017-11-24,81
2017-11-25,89
2017-11-26,88
2017-11-27,88
2017-11-28,85
2017-11-29,87
2017-11-30,89
2017-12-01,86
2017-12-02,87
2017-12-03,88
2017-12-04,88
2017-12-05,86
2017-12-06,85
2017-12-07,83
2017-12-08,86
2017-12-09,85
2017-12-10,83
2017-12-11,87
2017-12-12,88
2017-12-13,86
2017-12-14,85
2017-12-15,85
2017-12-16,88
2017-12-17,84
2017-12-18,85
2017-12-19,85
2017-12-20,88
2017-12-21,84
2017-12-22,83
2017-12-23,86
2017-12-24,81
2017-12-25,68
2017-12-26,86
2017-12-27,94
2017-12-28,96
2017-12-29,96
2017-12-30,94
2017-12-31,87
2018-01-01,79
2018-01-02,96
2018-01-03,100
2018-01-04,94
2018-01-05,91
2018-01-06,97
2018-01-07,98
2018-01-08,94
2018-01-09,89
2018-01-10,95
2018-01-11,93
2018-01-12,91
2018-01-13,93
2018-01-14,89
2018-01-15,91
2018-01-16,89
2018-01-17,86
2018-01-18,87
2018-01-19,88
2018-01-20,97
2018-01-21,92
2018-01-22,89
2018-01-23,93
2018-01-24,91
2018-01-25,90
2018-01-26,87
2018-01-27,94
2018-01-28,90
2018-01-29,88
2018-01-30,89
2018-01-31,87
2018-02-01,88
2018-02-02,90
2018-02-03,94
2018-02-04,91
2018-02-05,89
2018-02-06,91
2018-02-07,90
2018-02-08,92
2018-02-09,92
2018-02-10,93
2018-02-11,93
2018-02-12,91
2018-02-13,92
2018-02-14,83
2018-02-15,86
2018-02-16,85
2018-02-17,91
2018-02-18,90
2018-02-19,93
2018-02-20,89
2018-02-21,89
2018-02-22,89
2018-02-23,89
2018-02-24,90
2018-02-25,91
2018-02-26,90
2018-02-27,88
2018-02-28,84
2018-03-01,88
2018-03-02,85
2018-03-03,91
2018-03-04,93
2018-03-05,91
2018-03-06,91
2018-03-07,90
2018-03-08,86
2018-03-09,90
2018-03-10,95
2018-03-11,92
2018-03-12,87
2018-03-13,91
2018-03-14,83
2018-03-15,88
2018-03-16,87
2018-03-17,89
2018-03-18,91
2018-03-19,90
2018-03-20,90
2018-03-21,89
2018-03-22,92
2018-03-23,90
2018-03-24,93
2018-03-25,91
2018-03-26,93
2018-03-27,92
2018-03-28,88
2018-03-29,91
2018-03-30,90
2018-03-31,92
2018-04-01,86
2018-04-02,92
2018-04-03,90
2018-04-04,91
2018-04-05,89
2018-04-06,90
2018-04-07,90
2018-04-08,92
2018-04-09,93
2018-04-10,91
2018-04-11,90
2018-04-12,87
2018-04-13,89
2018-04-14,94
2018-04-15,90
2018-04-16,87
2018-04-17,88
2018-04-18,89
2018-04-19,91
2018-04-20,93
2018-04-21,97
2018-04-22,96
2018-04-23,91
2018-04-24,92
2018-04-25,90
2018-04-26,94
2018-04-27,91
2018-04-28,97
2018-04-29,95
2018-04-30,93
2018-05-01,92
2018-05-02,89
2018-05-03,85
2018-05-04,86
2018-05-05,92
2018-05-06,90
2018-05-07,91
2018-05-08,93
2018-05-09,93
2018-05-10,89
2018-05-11,90
2018-05-12,92
2018-05-13,88
2018-05-14,86
2018-05-15,83
2018-05-16,90
2018-05-17,87
2018-05-18,86
2018-05-19,86
2018-05-20,88
2018-05-21,93
2018-05-22,89
2018-05-23,90
2018-05-24,88
2018-05-25,89
2018-05-26,91
2018-05-27,86
2018-05-28,86
2018-05-29,89
2018-05-30,88
2018-05-31,90
2018-06-01,87
2018-06-02,92
2018-06-03,90
2018-06-04,87
2018-06-05,88
2018-06-06,86
2018-06-07,86
2018-06-08,82
2018-06-09,91
2018-06-10,91
2018-06-11,88
2018-06-12,89
2018-06-13,84
2018-06-14,85
2018-06-15,84
2018-06-16,88
2018-06-17,80
2018-06-18,85
2018-06-19,84
2018-06-20,82
2018-06-21,84
2018-06-22,86
2018-06-23,90
2018-06-24,90
2018-06-25,84
2018-06-26,88
2018-06-27,83
2018-06-28,85
2018-06-29,89
2018-06-30,88
2018-07-01,87
2018-07-02,91
2018-07-03,89
2018-07-04,87
2018-07-05,85
2018-07-06,88
2018-07-07,89
2018-07-08,91
2018-07-09,92
2018-07-10,86
2018-07-11,90
2018-07-12,89
2018-07-13,93
2018-07-14,95
2018-07-15,92
2018-07-16,94
2018-07-17,93
2018-07-18,94
2018-07-19,94
2018-07-20,90
2018-07-21,93
2018-07-22,94
2018-07-23,89
2018-07-24,92
2018-07-25,91
2018-07-26,90
2018-07-27,88
2018-07-28,91
2018-07-29,91
2018-07-30,90
2018-07-31,91
2018-08-01,88
2018-08-02,90
2018-08-03,88
2018-08-04,92
2018-08-05,93
2018-08-06,90
2018-08-07,90
2018-08-08,88
2018-08-09,88
2018-08-10,90
2018-08-11,91
2018-08-12,90
2018-08-13,90
2018-08-14,90
2018-08-15,90
2018-08-16,89
2018-08-17,85
2018-08-18,91
2018-08-19,88
2018-08-20,88
2018-08-21,89
2018-08-22,87
2018-08-23,89
2018-08-24,86
2018-08-25,90
2018-08-26,87
2018-08-27,86
2018-08-28,85
2018-08-29,88
2018-08-30,88
2018-08-31,86
2018-09-01,87
2018-09-02,88
2018-09-03,87
2018-09-04,89
2018-09-05,84
2018-09-06,84
2018-09-07,88
2018-09-08,89
2018-09-09,88
2018-09-10,87
2018-09-11,85
2018-09-12,84
2018-09-13,83
2018-09-14,83
2018-09-15,89
2018-09-16,87
