date,greenhouse gas
2017-02-27,22.0
2017-02-28,28.0
2017-03-01,30.0
2017-03-02,16.0
2017-03-03,20.0
2017-03-04,6.0
2017-03-05,21.0
2017-03-06,40.0
2017-03-07,22.0
2017-03-08,27.0
2017-03-09,30.0
2017-03-10,24.0
2017-03-11,13.0
2017-03-12,16.0
2017-03-13,21.0
2017-03-14,24.0
2017-03-15,17.0
2017-03-16,28.0
2017-03-17,10.0
2017-03-18,8.0
2017-03-19,6.0
2017-03-20,18.0
2017-03-21,24.0
2017-03-22,20.0
2017-03-23,34.0
2017-03-24,15.0
2017-03-25,6.0
2017-03-26,10.0
2017-03-27,12.0
2017-03-28,16.0
2017-03-29,22.0
2017-03-30,28.0
2017-03-31,14.0
2017-04-01,10.0
2017-04-02,13.0
2017-04-03,24.0
2017-04-04,24.0
2017-04-05,13.0
2017-04-06,22.0
2017-04-07,20.0
2017-04-08,4.0
2017-04-09,10.0
2017-04-10,26.0
2017-04-11,20.0
2017-04-12,30.0
2017-04-13,18.0
2017-04-14,16.0
2017-04-15,16.0
2017-04-16,17.0
2017-04-17,22.0
2017-04-18,24.0
2017-04-19,16.0
2017-05-28,11.0
2017-05-29,16.0
2017-05-30,36.0
2017-05-31,29.0
2017-06-01,40.0
2017-06-02,37.0
2017-06-03,19.0
2017-06-04,21.0
2017-06-05,28.0
2017-06-06,36.0
2017-06-07,31.0
2017-06-08,24.0
2017-06-09,11.0
2017-06-10,16.0
2017-06-11,6.0
2017-06-12,22.0
2017-06-13,29.0
2017-06-14,22.0
2017-06-15,27.0
2017-06-16,8.0
2017-06-17,11.0
2017-06-18,2.0
2017-06-19,17.0
2017-06-20,13.0
2017-06-21,11.0
2017-06-22,15.0
2017-06-23,17.0
2017-06-24,6.0
2017-06-25,9.0
2017-06-26,2.0
2017-06-27,10.0
2017-06-28,15.0
2017-06-29,14.0
2017-06-30,12.0
2017-07-01,2.0
2017-07-02,4.0
2017-07-03,8.0
2017-07-04,12.0
2017-07-05,10.0
2017-07-06,12.0
2017-07-07,10.0
2017-07-08,7.0
2017-07-09,20.0
2017-07-10,9.0
2017-07-11,13.0
2017-07-12,11.0
2017-07-13,10.0
2017-07-14,6.0
2017-07-15,4.0
2017-07-16,11.0
2017-07-17,13.0
2017-07-18,7.0
2017-07-19,17.0
2017-07-20,9.0
2017-07-21,12.0
2017-07-22,6.0
2017-07-23,6.0
2017-07-24,15.0
2017-07-25,13.0
2017-07-26,17.0
2017-07-27,13.0
2017-07-28,12.0
2017-07-29,9.0
2017-07-30,15.0
2017-07-31,13.0
2017-08-01,16.0
2017-08-02,12.0
2017-08-03,11.0
2017-08-04,6.0
2017-08-05,17.0
2017-08-06,21.0
2017-08-07,2.0
2017-08-08,16.0
2017-08-09,13.0
2017-08-10,11.0
2017-08-11,9.0
2017-08-12,6.0
2017-08-13,11.0
2017-08-14,11.0
2017-08-15,21.0
2017-08-16,13.0
2017-08-17,20.0
2017-08-18,8.0
2017-08-19,8.0
2017-08-20,6.0
2017-08-21,16.0
2017-08-22,19.0
2017-08-23,11.0
2017-08-24,13.0
2017-08-25,16.0
2017-08-26,6.0
2017-08-27,4.0
2017-08-28,13.0
