date,renewable
2018-08-29,62
2018-08-30,69
2018-08-31,54
2018-09-01,28
2018-09-02,30
2018-09-03,52
2018-09-04,70
2018-09-05,59
2018-09-06,67
2018-09-07,66
2018-09-08,42
2018-09-09,49
2018-09-10,67
2018-09-11,61
2018-09-12,66
2018-09-13,59
2018-09-14,60
2018-09-15,41
2018-09-16,43
2018-09-17,71
2018-09-18,74
2018-09-19,67
2018-09-20,66
2018-09-21,70
2018-09-22,37
2018-09-23,41
2018-09-24,70
2018-09-25,81
2018-09-26,78
2018-09-27,55
2018-09-28,62
2018-09-29,38
2018-09-30,37
2018-10-01,62
2018-10-02,67
2018-10-03,78
2018-10-04,71
2018-10-05,54
2018-10-06,30
2018-10-07,45
2018-10-08,85
2018-10-09,79
2018-10-10,85
2018-10-11,61
2018-10-12,66
2018-10-13,36
2018-10-14,50
2018-10-15,86
2018-10-16,89
2018-10-17,75
2018-10-18,71
2018-10-19,60
2018-10-20,40
2018-10-21,44
2018-10-22,68
2018-10-23,74
2018-10-24,72
2018-10-25,67
2018-10-26,66
2018-10-27,38
2018-10-28,39
2018-10-29,67
2018-10-30,91
2018-10-31,76
2018-11-01,62
2018-11-02,51
2018-11-03,33
2018-11-04,57
2018-11-05,77
2018-11-06,69
2018-11-07,82
2018-11-08,76
2018-11-09,56
2018-11-10,34
2018-11-11,46
2018-11-12,74
2018-11-13,75
2018-11-14,88
2018-11-15,82
2018-11-16,63
2018-11-17,39
2018-11-18,48
2018-11-19,84
2018-11-20,71
2018-11-21,68
2018-11-22,53
2018-11-23,45
2018-11-24,40
2018-11-25,45
2018-11-26,85
2018-11-27,81
2018-11-28,88
2018-11-29,92
2018-11-30,70
2018-12-01,45
2018-12-02,58
2018-12-03,90
2018-12-04,90
2018-12-05,100
2018-12-06,94
2018-12-07,74
2018-12-08,42
2018-12-09,48
2018-12-10,88
2018-12-11,95
2018-12-12,85
2018-12-13,78
2018-12-14,89
2018-12-15,33
2018-12-16,33
2018-12-17,75
2018-12-18,84
2018-12-19,62
2018-12-20,50
2018-12-21,43
2018-12-22,34
2018-12-23,25
2018-12-24,32
2018-12-25,34
2018-12-26,43
2018-12-27,38
2018-12-28,30
2018-12-29,31
2018-12-30,28
2018-12-31,34
2019-01-01,25
2019-01-02,47
2019-01-03,62
2019-01-04,50
2019-01-05,35
2019-01-06,30
2019-01-07,53
2019-01-08,68
2019-01-09,79
2019-01-10,76
2019-01-11,54
2019-01-12,30
2019-01-13,43
2019-01-14,61
2019-01-15,82
2019-01-16,68
2019-01-17,68
2019-01-18,55
2019-01-19,35
2019-01-20,35
2019-01-21,48
2019-01-22,75
2019-01-23,72
2019-01-24,75
2019-01-25,65
2019-01-26,32
2019-01-27,43
2019-01-28,73
2019-01-29,73
2019-01-30,80
2019-01-31,76
2019-02-01,59
2019-02-02,38
2019-02-03,40
2019-02-04,71
2019-02-05,74
2019-02-06,71
2019-02-07,75
2019-02-08,70
2019-02-09,45
2019-02-10,38
2019-02-11,76
2019-02-12,86
2019-02-13,91
2019-02-14,73
2019-02-15,68
2019-02-16,39
2019-02-17,44
2019-02-18,64
2019-02-19,66
2019-02-20,68
2019-02-21,71
2019-02-22,60
2019-02-23,38
2019-02-24,44
2019-02-25,86
2019-02-26,89
2019-02-27,85
2019-02-28,76
2019-03-01,78
2019-03-02,37
2019-03-03,48
2019-03-04,76
2019-03-05,90
2019-03-06,95
2019-03-07,81
2019-03-08,70
2019-03-09,36
2019-03-10,51
2019-03-11,82
2019-03-12,89
2019-03-13,79
2019-03-14,78
2019-03-15,48
2019-03-16,26
2019-03-17,45
2019-03-18,68
2019-03-19,81
2019-03-20,89
2019-03-21,76
2019-03-22,58
2019-03-23,36
2019-03-24,49
2019-03-25,84
2019-03-26,69
2019-03-27,81
2019-03-28,84
2019-03-29,69
2019-03-30,38
2019-03-31,50
2019-04-01,76
